dates,flow_m3s_fire,flow_m3s_nofire,flow_m3s_%chg,sed_kgday_fire,sed_kgday_nofire,sed_kgday_%chg,sed_mgL_fire,sed_mgL_nofire,sed_mgL_%chg,nit_kgday_fire,nit_kgday_nofire,nit_kgday_%chg,nit_mgL_fire,nit_mgL_nofire,nit_mgL_%chg
2014-05-11,3.703,3.703,0,7.724,7.724,0,24.14,24.14,0,2.095,2.095,0,0.0065481191426371,0.0065481191426371,0
2014-05-12,3.499,3.499,0,7.107,7.107,0,23.51,23.51,0,1.877,1.877,0,0.00620878452044499,0.00620878452044499,0
2014-05-13,3.361,3.361,0,6.76,6.76,0,23.28,23.28,0,1.721,1.721,0,0.00592650445744763,0.00592650445744763,0
2014-05-14,3.24,3.24,0,6.483,6.483,0,23.16,23.16,0,1.591,1.591,0,0.0056834419295839,0.0056834419295839,0
2014-05-15,3.117,3.117,0,6.003,6.003,0,22.29,22.29,0,1.473,1.473,0,0.00546955762307062,0.00546955762307062,0
2014-05-16,2.991,2.991,0,5.712,5.712,0,22.1,22.1,0,1.363,1.363,0,0.00527431058607923,0.00527431058607923,0
2014-05-17,2.924,2.924,0,5.642,5.642,0,22.33,22.33,0,1.279,1.279,0,0.00506266783199068,0.00506266783199068,0
2014-05-18,2.859,2.859,0,5.392,5.392,0,21.83,21.83,0,1.206,1.206,0,0.00488224320858109,0.00488224320858109,0
2014-05-19,2.891,2.891,0,5.511,5.511,0,22.06,22.06,0,1.186,1.186,0,0.00474813277476716,0.00474813277476716,0
2014-05-20,2.753,2.753,0,5.176,5.176,0,21.76,21.76,0,1.093,1.093,0,0.00459515545331019,0.00459515545331019,0
2014-05-21,2.63,2.63,0,4.731,4.731,0,20.82,20.82,0,1.014,1.014,0,0.00446239966201943,0.00446239966201943,0
2014-05-22,2.528,2.528,0,4.529,4.529,0,20.73,20.73,0,0.9482,0.9482,0,0.00434119344819503,0.00434119344819503,0
2014-05-23,2.553,2.553,0,4.611,4.611,0,20.91,20.91,0,0.9143,0.9143,0,0.00414499644572108,0.00414499644572108,0
2014-05-24,2.527,2.527,0,4.523,4.523,0,20.71,20.71,0,0.8615,0.8615,0,0.00394581116534025,0.00394581116534025,0
2014-05-25,2.45,2.45,0,4.405,4.405,0,20.81,20.81,0,0.8173,0.8173,0,0.00386101662887377,0.00386101662887377,0
2014-05-26,2.353,2.353,0,4.067,4.067,0,20,20,0,0.7689,0.7689,0,0.0037821103083534,0.0037821103083534,0
2014-05-27,2.345,2.345,0,4.039,4.039,0,19.94,19.94,0,0.8201,0.8201,0,0.00404771776040433,0.00404771776040433,0
2014-05-28,2.223,2.223,0,3.772,3.772,0,19.65,19.65,0,0.7462,0.7462,0,0.00388509854884124,0.00388509854884124,0
2014-05-29,2.156,2.156,0,3.692,3.692,0,19.82,19.82,0,0.7146,0.7146,0,0.00383619356833642,0.00383619356833642,0
2014-05-30,2.065,2.065,0,3.389,3.389,0,18.99,18.99,0,0.6667,0.6667,0,0.00373677248677249,0.00373677248677249,0
2014-05-31,1.963,1.963,0,3.194,3.194,0,18.83,18.83,0,0.6102,0.6102,0,0.00359780947529292,0.00359780947529292,0
2014-06-01,1.858,1.858,0,2.993,2.993,0,18.65,18.65,0,0.5565,0.5565,0,0.00346661583542638,0.00346661583542638,0
2014-06-02,1.806,1.806,0,2.826,2.826,0,18.11,18.11,0,0.5245,0.5245,0,0.00336135207743735,0.00336135207743735,0
2014-06-03,1.689,1.689,0,2.595,2.595,0,17.78,17.78,0,0.4772,0.4772,0,0.00327006995153828,0.00327006995153828,0
2014-06-04,1.638,1.638,0,2.438,2.438,0,17.23,17.23,0,0.4456,0.4456,0,0.00314860037082259,0.00314860037082259,0
2014-06-05,1.584,1.584,0,2.392,2.392,0,17.48,17.48,0,0.419,0.419,0,0.00306157641227086,0.00306157641227086,0
2014-06-06,1.564,1.564,0,2.329,2.329,0,17.23,17.23,0,0.4001,0.4001,0,0.0029608612768779,0.0029608612768779,0
2014-06-07,1.499,1.499,0,2.144,2.144,0,16.55,16.55,0,0.3741,0.3741,0,0.00288849974056779,0.00288849974056779,0
2014-06-08,1.45,1.45,0,2.109,2.109,0,16.83,16.83,0,0.352,0.352,0,0.00280970625798212,0.00280970625798212,0
2014-06-09,1.407,1.407,0,1.987,1.987,0,16.34,16.34,0,0.3343,0.3343,0,0.00274997367659059,0.00274997367659059,0
2014-06-10,1.373,1.373,0,1.892,1.892,0,15.95,15.95,0,0.3156,0.3156,0,0.00266043538075585,0.00266043538075585,0
2014-06-11,1.368,1.368,0,1.873,1.873,0,15.85,15.85,0,0.3018,0.3018,0,0.00255340318388564,0.00255340318388564,0
2014-06-12,1.338,1.338,0,1.888,1.888,0,16.33,16.33,0,0.29,0.29,0,0.00250858107734042,0.00250858107734042,0
2014-06-13,1.348,1.348,0,1.911,1.911,0,16.4,16.4,0,0.2858,0.2858,0,0.00245390977030443,0.00245390977030443,0
2014-06-14,1.437,1.437,0,2.06,2.06,0,16.59,16.59,0,0.3574,0.3574,0,0.0028786180056187,0.0028786180056187,0
2014-06-15,1.38,1.38,0,1.9,1.9,0,15.93,15.93,0,0.3166,0.3166,0,0.00265532742887815,0.00265532742887815,0
2014-06-16,1.32,1.32,0,1.832,1.832,0,16.06,16.06,0,0.3186,0.3186,0,0.00279356060606061,0.00279356060606061,0
2014-06-17,1.337,1.337,0,1.881,1.881,0,16.28,16.28,0,0.3399,0.3399,0,0.00294242915316214,0.00294242915316214,0
2014-06-18,1.24,1.24,0,1.716,1.716,0,16.01,16.01,0,0.2864,0.2864,0,0.00267323775388292,0.00267323775388292,0
2014-06-19,1.157,1.157,0,1.497,1.497,0,14.97,14.97,0,0.2496,0.2496,0,0.00249687890137328,0.00249687890137328,0
2014-06-20,1.129,1.129,0,1.506,1.506,0,15.44,15.44,0,0.2311,0.2311,0,0.00236914837778434,0.00236914837778434,0
2014-06-21,1.089,1.089,0,1.403,1.403,0,14.91,14.91,0,0.2017,0.2017,0,0.00214370132299425,0.00214370132299425,0
2014-06-22,1.06,1.06,0,1.326,1.326,0,14.49,14.49,0,0.1897,0.1897,0,0.00207132250174703,0.00207132250174703,0
2014-06-23,1.026,1.026,0,1.244,1.244,0,14.03,14.03,0,0.1838,0.1838,0,0.00207340625225615,0.00207340625225615,0
2014-06-24,0.9564,0.9564,0,1.154,1.154,0,13.96,13.96,0,0.1699,0.1699,0,0.00205608028563905,0.00205608028563905,0
2014-06-25,0.9362,0.9362,0,1.105,1.105,0,13.67,13.67,0,0.1516,0.1516,0,0.0018742038342551,0.0018742038342551,0
2014-06-26,0.9502,0.9502,0,1.133,1.133,0,13.8,13.8,0,0.1574,0.1574,0,0.00191723769654732,0.00191723769654732,0
2014-06-27,1.272,1.272,0,1.699,1.699,0,15.46,15.46,0,0.2585,0.2585,0,0.00235212118565106,0.00235212118565106,0
2014-06-28,1.257,1.257,0,1.665,1.665,0,15.32,15.32,0,0.2716,0.2716,0,0.00250081027726215,0.00250081027726215,0
2014-06-29,1.178,1.178,0,1.547,1.547,0,15.19,15.19,0,0.2593,0.2593,0,0.00254767182292649,0.00254767182292649,0
2014-06-30,1.038,1.038,0,1.275,1.275,0,14.22,14.22,0,0.2046,0.2046,0,0.00228136373367587,0.00228136373367587,0
2014-07-01,0.9172,0.9172,0,1.132,1.132,0,14.29,14.29,0,0.1756,0.1756,0,0.00221588247645814,0.00221588247645814,0
2014-07-02,0.8296,0.8296,0,0.9287,0.9287,0,12.96,12.96,0,0.1705,0.1705,0,0.00237871218614951,0.00237871218614951,0
2014-07-03,0.7256,0.7256,0,0.7685,0.7685,0,12.26,12.26,0,0.1437,0.1437,0,0.00229216433909102,0.00229216433909102,0
2014-07-04,0.7074,0.7074,0,0.7837,0.7837,0,12.82,12.82,0,0.1163,0.1163,0,0.00190283406108965,0.00190283406108965,0
2014-07-05,0.6432,0.6432,0,0.6509,0.6509,0,11.71,11.71,0,0.1043,0.1043,0,0.00187682824304404,0.00187682824304404,0
2014-07-06,0.5803,0.5803,0,0.5785,0.5785,0,11.54,11.54,0,0.1026,0.1026,0,0.00204635533344822,0.00204635533344822,0
2014-07-07,0.5616,0.5616,0,0.5408,0.5408,0,11.15,11.15,0,0.105,0.105,0,0.00216395615701171,0.00216395615701171,0
2014-07-08,0.5379,0.5379,0,0.5407,0.5407,0,11.64,11.64,0,0.1076,0.1076,0,0.00231524515778094,0.00231524515778094,0
2014-07-09,0.4402,0.4402,0,0.4077,0.4077,0,10.72,10.72,0,0.1016,0.1016,0,0.00267134467497939,0.00267134467497939,0
