"scenario","year","flow_mm_yr_fire","flow_mm_yr_nofire","sed_kg_yr_fire","sed_kg_yr_nofire","nit_kg_yr_fire","nit_kg_yr_nofire","doc_kg_yr_fire","doc_kg_yr_nofire","percent","severity"
"20_LOW",2016,792.380451357471,792.380451357471,82116192.5413056,82116192.5413056,54891.7286,54891.7286,412549.20935,412549.20935,"20","LOW"
"20_LOW",2017,598.505537510405,598.505537510405,59510298.665952,59510298.665952,35794.81803,35794.81803,121080.95676,121080.95676,"20","LOW"
"20_LOW",2018,484.832234942024,484.832234942024,44123942.8807142,44123942.8807142,37859.79448,37859.79448,192697.046956,192697.046956,"20","LOW"
"20_LOW",2019,586.811090884177,585.109201030757,59020078.5054634,58305613.8648557,33695.38795,30424.90998,216900.265416,124842.54965,"20","LOW"
"20_MOD",2014,407.197919054572,407.197919054572,33361515.801447,33361515.801447,46581.08625,46581.08625,188297.129881,188297.129881,"20","MOD"
"20_MOD",2015,813.892630886363,813.892630886363,92609415.5553078,92609415.5553078,63935.6319,63935.6319,462910.27242,462910.27242,"20","MOD"
"20_MOD",2016,792.380451357471,792.380451357471,82116192.5413056,82116192.5413056,54891.7286,54891.7286,412549.20935,412549.20935,"20","MOD"
"20_MOD",2017,598.505537510405,598.505537510405,59510298.665952,59510298.665952,35794.81803,35794.81803,121080.95676,121080.95676,"20","MOD"
"20_MOD",2018,484.832234942024,484.832234942024,44123942.8807142,44123942.8807142,37859.79448,37859.79448,192697.046956,192697.046956,"20","MOD"
"20_MOD",2019,599.700472387902,585.109201030757,61335372.1483498,58305613.8648557,39558.64188,30424.90998,334201.254222,124842.54965,"20","MOD"
"25_HIGH",2014,407.197919054572,407.197919054572,33361515.801447,33361515.801447,46581.08625,46581.08625,188297.129881,188297.129881,"25","HIGH"
"25_HIGH",2015,813.892630886363,813.892630886363,92609415.5553078,92609415.5553078,63935.6319,63935.6319,462910.27242,462910.27242,"25","HIGH"
"25_HIGH",2016,792.380451357471,792.380451357471,82116192.5413056,82116192.5413056,54891.7286,54891.7286,412549.20935,412549.20935,"25","HIGH"
"25_HIGH",2017,598.505537510405,598.505537510405,59510298.665952,59510298.665952,35794.81803,35794.81803,121080.95676,121080.95676,"25","HIGH"
"25_HIGH",2018,484.832234942024,484.832234942024,44123942.8807142,44123942.8807142,37859.79448,37859.79448,192697.046956,192697.046956,"25","HIGH"
"25_HIGH",2019,615.459763920739,585.109201030757,64487392.4044166,58305613.8648557,55776.75466,30424.90998,339136.158408,124842.54965,"25","HIGH"
"25_LOW",2014,407.197919054572,407.197919054572,33361515.801447,33361515.801447,46581.08625,46581.08625,188297.129881,188297.129881,"25","LOW"
"25_LOW",2015,813.892630886363,813.892630886363,92609415.5553078,92609415.5553078,63935.6319,63935.6319,462910.27242,462910.27242,"25","LOW"
"25_LOW",2016,792.380451357471,792.380451357471,82116192.5413056,82116192.5413056,54891.7286,54891.7286,412549.20935,412549.20935,"25","LOW"
"25_LOW",2017,598.505537510405,598.505537510405,59510298.665952,59510298.665952,35794.81803,35794.81803,121080.95676,121080.95676,"25","LOW"
"25_LOW",2018,484.832234942024,484.832234942024,44123942.8807142,44123942.8807142,37859.79448,37859.79448,192697.046956,192697.046956,"25","LOW"
"25_LOW",2019,587.271333675792,585.109201030757,59232441.997175,58305613.8648557,34277.49522,30424.90998,219480.398707,124842.54965,"25","LOW"
"25_MOD",2014,407.197919054572,407.197919054572,33361515.801447,33361515.801447,46581.08625,46581.08625,188297.129881,188297.129881,"25","MOD"
"25_MOD",2015,813.892630886363,813.892630886363,92609415.5553078,92609415.5553078,63935.6319,63935.6319,462910.27242,462910.27242,"25","MOD"
"25_MOD",2016,792.380451357471,792.380451357471,82116192.5413056,82116192.5413056,54891.7286,54891.7286,412549.20935,412549.20935,"25","MOD"
"25_MOD",2017,598.505537510405,598.505537510405,59510298.665952,59510298.665952,35794.81803,35794.81803,121080.95676,121080.95676,"25","MOD"
"25_MOD",2018,484.832234942024,484.832234942024,44123942.8807142,44123942.8807142,37859.79448,37859.79448,192697.046956,192697.046956,"25","MOD"
"25_MOD",2019,602.226360304881,585.109201030757,61908740.0275622,58305613.8648557,41527.70744,30424.90998,342705.110937,124842.54965,"25","MOD"
"30_HIGH",2014,407.197919054572,407.197919054572,33361515.801447,33361515.801447,46581.08625,46581.08625,188297.129881,188297.129881,"30","HIGH"
"30_HIGH",2015,813.892630886363,813.892630886363,92609415.5553078,92609415.5553078,63935.6319,63935.6319,462910.27242,462910.27242,"30","HIGH"
"30_HIGH",2016,792.380451357471,792.380451357471,82116192.5413056,82116192.5413056,54891.7286,54891.7286,412549.20935,412549.20935,"30","HIGH"
"30_HIGH",2017,598.505537510405,598.505537510405,59510298.665952,59510298.665952,35794.81803,35794.81803,121080.95676,121080.95676,"30","HIGH"
"30_HIGH",2018,484.832234942024,484.832234942024,44123942.8807142,44123942.8807142,37859.79448,37859.79448,192697.046956,192697.046956,"30","HIGH"
"30_HIGH",2019,619.59441633613,585.109201030757,65252841.1957498,58305613.8648557,61187.16211,30424.90998,359218.03183,124842.54965,"30","HIGH"
"30_LOW",2014,407.197919054572,407.197919054572,33361515.801447,33361515.801447,46581.08625,46581.08625,188297.129881,188297.129881,"30","LOW"
"30_LOW",2015,813.892630886363,813.892630886363,92609415.5553078,92609415.5553078,63935.6319,63935.6319,462910.27242,462910.27242,"30","LOW"
"30_LOW",2016,792.380451357471,792.380451357471,82116192.5413056,82116192.5413056,54891.7283605036,54891.7286,412549.209351469,412549.20935,"30","LOW"
"30_LOW",2017,598.505537510405,598.505537510405,59510298.665952,59510298.665952,35794.818196343,35794.81803,121080.955999336,121080.95676,"30","LOW"
"30_LOW",2018,484.832234942024,484.832234942024,44123942.8807142,44123942.8807142,37859.7951631572,37859.79448,192697.040938382,192697.046956,"30","LOW"
"30_LOW",2019,587.615171512096,585.109201030757,59280295.6129594,58305613.8648557,34939.4610516065,30424.90998,222284.836283824,124842.54965,"30","LOW"
"30_MOD",2014,407.197919054572,407.197919054572,33361515.801447,33361515.801447,46581.08625,46581.08625,188297.129881,188297.129881,"30","MOD"
"30_MOD",2015,813.892630886363,813.892630886363,92609415.5553078,92609415.5553078,63935.6319,63935.6319,462910.27242,462910.27242,"30","MOD"
"30_MOD",2016,792.380451357471,792.380451357471,82116192.5413056,82116192.5413056,54891.7286,54891.7286,412549.20935,412549.20935,"30","MOD"
"30_MOD",2017,598.505537510405,598.505537510405,59510298.665952,59510298.665952,35794.81803,35794.81803,121080.95676,121080.95676,"30","MOD"
"30_MOD",2018,484.832234942024,484.832234942024,44123942.8807142,44123942.8807142,37859.79448,37859.79448,192697.046956,192697.046956,"30","MOD"
"30_MOD",2019,604.586036639067,585.109201030757,62398048.307737,58305613.8648557,43996.60059,30424.90998,351874.476284,124842.54965,"30","MOD"
"40_HIGH",2014,407.197919054572,407.197919054572,33361515.801447,33361515.801447,46581.08625,46581.08625,188297.129881,188297.129881,"40","HIGH"
"40_HIGH",2015,813.892630886363,813.892630886363,92609415.5553078,92609415.5553078,63935.6319,63935.6319,462910.27242,462910.27242,"40","HIGH"
"40_HIGH",2016,792.380451357471,792.380451357471,82116192.5413056,82116192.5413056,54891.7286,54891.7286,412549.20935,412549.20935,"40","HIGH"
"40_HIGH",2017,598.505537510405,598.505537510405,59510298.665952,59510298.665952,35794.81803,35794.81803,121080.95676,121080.95676,"40","HIGH"
"40_HIGH",2018,484.832234942024,484.832234942024,44123942.8807142,44123942.8807142,37859.79448,37859.79448,192697.046956,192697.046956,"40","HIGH"
"40_HIGH",2019,627.961719400693,585.109201030757,66828366.6636614,58305613.8648557,69391.2873,30424.90998,397245.212621,124842.54965,"40","HIGH"
"40_LOW",2014,407.197919054572,407.197919054572,33361515.801447,33361515.801447,46581.08625,46581.08625,188297.129881,188297.129881,"40","LOW"
"40_LOW",2015,813.892630886363,813.892630886363,92609415.5553078,92609415.5553078,63935.6319,63935.6319,462910.27242,462910.27242,"40","LOW"
"40_LOW",2016,792.380451357471,792.380451357471,82116192.5413056,82116192.5413056,54891.7286,54891.7286,412549.20935,412549.20935,"40","LOW"
"40_LOW",2017,598.505537510405,598.505537510405,59510298.665952,59510298.665952,35794.81803,35794.81803,121080.95676,121080.95676,"40","LOW"
"40_LOW",2018,484.832234942024,484.832234942024,44123942.8807142,44123942.8807142,37859.79448,37859.79448,192697.046956,192697.046956,"40","LOW"
"40_LOW",2019,588.390536402746,585.109201030757,59535048.0422534,58305613.8648557,36327.79623,30424.90998,228006.447698,124842.54965,"40","LOW"
"40_MOD",2014,407.197919054572,407.197919054572,33361515.801447,33361515.801447,46581.08625,46581.08625,188297.129881,188297.129881,"40","MOD"
"40_MOD",2015,813.892630886363,813.892630886363,92609415.5553078,92609415.5553078,63935.6319,63935.6319,462910.27242,462910.27242,"40","MOD"
"40_MOD",2016,792.380451357471,792.380451357471,82116192.5413056,82116192.5413056,54891.7286,54891.7286,412549.20935,412549.20935,"40","MOD"
"40_MOD",2017,598.505537510405,598.505537510405,59510298.665952,59510298.665952,35794.81803,35794.81803,121080.95676,121080.95676,"40","MOD"
"40_MOD",2018,484.832234942024,484.832234942024,44123942.8807142,44123942.8807142,37859.79448,37859.79448,192697.046956,192697.046956,"40","MOD"
"40_MOD",2019,609.376632776928,585.109201030757,63553747.7080166,58305613.8648557,48460.85799,30424.90998,369220.567196,124842.54965,"40","MOD"
"45_HIGH",2014,407.197919054572,407.197919054572,33361515.801447,33361515.801447,46581.08625,46581.08625,188297.129881,188297.129881,"45","HIGH"
"45_HIGH",2015,813.892630886363,813.892630886363,92609415.5553078,92609415.5553078,63935.6319,63935.6319,462910.27242,462910.27242,"45","HIGH"
"45_HIGH",2016,792.380451357471,792.380451357471,82116192.5413056,82116192.5413056,54891.7286,54891.7286,412549.20935,412549.20935,"45","HIGH"
"45_HIGH",2017,598.505537510405,598.505537510405,59510298.665952,59510298.665952,35794.81803,35794.81803,121080.95676,121080.95676,"45","HIGH"
"45_HIGH",2018,484.832234942024,484.832234942024,44123942.8807142,44123942.8807142,37859.79448,37859.79448,192697.046956,192697.046956,"45","HIGH"
"45_HIGH",2019,632.332790751439,585.109201030757,67610478.7752365,58305613.8648557,73492.53191,30424.90998,415831.728975,124842.54965,"45","HIGH"
"45_LOW",2014,407.197919054572,407.197919054572,33361515.801447,33361515.801447,46581.08625,46581.08625,188297.129881,188297.129881,"45","LOW"
"45_LOW",2015,813.892630886363,813.892630886363,92609415.5553078,92609415.5553078,63935.6319,63935.6319,462910.27242,462910.27242,"45","LOW"
"45_LOW",2016,792.380451357471,792.380451357471,82116192.5413056,82116192.5413056,54891.7286,54891.7286,412549.20935,412549.20935,"45","LOW"
"45_LOW",2017,598.505537510405,598.505537510405,59510298.665952,59510298.665952,35794.81803,35794.81803,121080.95676,121080.95676,"45","LOW"
"45_LOW",2018,484.832234942024,484.832234942024,44123942.8807142,44123942.8807142,37859.79448,37859.79448,192697.046956,192697.046956,"45","LOW"
"45_LOW",2019,588.813619799511,585.109201030757,59659751.8414829,58305613.8648557,37023.91551,30424.90998,230355.287559,124842.54965,"45","LOW"
"45_MOD",2014,407.197919054572,407.197919054572,33361515.801447,33361515.801447,46581.08625,46581.08625,188297.129881,188297.129881,"45","MOD"
"45_MOD",2015,813.892630886363,813.892630886363,92609415.5553078,92609415.5553078,63935.6319,63935.6319,462910.27242,462910.27242,"45","MOD"
"45_MOD",2016,792.380451357471,792.380451357471,82116192.5413056,82116192.5413056,54891.7286,54891.7286,412549.20935,412549.20935,"45","MOD"
"45_MOD",2017,598.505537510405,598.505537510405,59510298.665952,59510298.665952,35794.81803,35794.81803,121080.95676,121080.95676,"45","MOD"
"45_MOD",2018,484.832234942024,484.832234942024,44123942.8807142,44123942.8807142,37859.79448,37859.79448,192697.046956,192697.046956,"45","MOD"
"45_MOD",2019,611.87977305968,585.109201030757,64165933.9577549,58305613.8648557,50765.64572,30424.90998,377236.24721,124842.54965,"45","MOD"
"50_HIGH",2014,407.197919054572,407.197919054572,33361515.801447,33361515.801447,46581.08625,46581.08625,188297.129881,188297.129881,"50","HIGH"
"50_HIGH",2015,813.892630886363,813.892630886363,92609415.5553078,92609415.5553078,63935.6319,63935.6319,462910.27242,462910.27242,"50","HIGH"
"50_HIGH",2016,792.380451357471,792.380451357471,82116192.5413056,82116192.5413056,54891.7286,54891.7286,412549.20935,412549.20935,"50","HIGH"
"50_HIGH",2017,598.505537510405,598.505537510405,59510298.665952,59510298.665952,35794.81803,35794.81803,121080.95676,121080.95676,"50","HIGH"
"50_HIGH",2018,484.832234942024,484.832234942024,44123942.8807142,44123942.8807142,37859.79448,37859.79448,192697.046956,192697.046956,"50","HIGH"
"50_HIGH",2019,638.187918802255,585.109201030757,68727681.7064986,58305613.8648557,80681.44379,30424.90998,439646.25994,124842.54965,"50","HIGH"
"50_LOW",2014,407.197919054572,407.197919054572,33361515.801447,33361515.801447,46581.08625,46581.08625,188297.129881,188297.129881,"50","LOW"
"50_LOW",2015,813.892630886363,813.892630886363,92609415.5553078,92609415.5553078,63935.6319,63935.6319,462910.27242,462910.27242,"50","LOW"
"50_LOW",2016,792.380451357471,792.380451357471,82116192.5413056,82116192.5413056,54891.7286,54891.7286,412549.20935,412549.20935,"50","LOW"
"50_LOW",2017,598.505537510405,598.505537510405,59510298.665952,59510298.665952,35794.81803,35794.81803,121080.95676,121080.95676,"50","LOW"
"50_LOW",2018,484.832234942024,484.832234942024,44123942.8807142,44123942.8807142,37859.79448,37859.79448,192697.046956,192697.046956,"50","LOW"
"50_LOW",2019,589.573781934232,585.109201030757,59857352.2433434,58305613.8648557,38623.56884,30424.90998,242936.568983,124842.54965,"50","LOW"
"50_MOD",2014,407.197919054572,407.197919054572,33361515.801447,33361515.801447,46581.08625,46581.08625,188297.129881,188297.129881,"50","MOD"
"50_MOD",2015,813.892630886363,813.892630886363,92609415.5553078,92609415.5553078,63935.6319,63935.6319,462910.27242,462910.27242,"50","MOD"
"50_MOD",2016,792.380451357471,792.380451357471,82116192.5413056,82116192.5413056,54891.7286,54891.7286,412549.20935,412549.20935,"50","MOD"
"50_MOD",2017,598.505537510405,598.505537510405,59510298.665952,59510298.665952,35794.81803,35794.81803,121080.95676,121080.95676,"50","MOD"
"50_MOD",2018,484.832234942024,484.832234942024,44123942.8807142,44123942.8807142,37859.79448,37859.79448,192697.046956,192697.046956,"50","MOD"
"50_MOD",2019,615.357117068392,585.109201030757,64798371.2185978,58305613.8648557,54088.20164,30424.90998,406941.984019,124842.54965,"50","MOD"
"60_HIGH",2014,407.197919054572,407.197919054572,33361515.801447,33361515.801447,46581.08625,46581.08625,188297.129881,188297.129881,"60","HIGH"
"60_HIGH",2015,813.892630886363,813.892630886363,92609415.5553078,92609415.5553078,63935.6319,63935.6319,462910.27242,462910.27242,"60","HIGH"
"60_HIGH",2016,792.380451357471,792.380451357471,82116192.5413056,82116192.5413056,54891.7286,54891.7286,412549.20935,412549.20935,"60","HIGH"
"60_HIGH",2017,598.505537510405,598.505537510405,59510298.665952,59510298.665952,35794.81803,35794.81803,121080.95676,121080.95676,"60","HIGH"
"60_HIGH",2018,484.832234942024,484.832234942024,44123942.8807142,44123942.8807142,37859.79448,37859.79448,192697.046956,192697.046956,"60","HIGH"
"60_HIGH",2019,650.941958401518,585.109201030757,71184473.2118419,58305613.8648557,92882.65378,30424.90998,497840.528779,124842.54965,"60","HIGH"
"60_LOW",2014,407.197919054572,407.197919054572,33361515.801447,33361515.801447,46581.08625,46581.08625,188297.129881,188297.129881,"60","LOW"
"60_LOW",2015,813.892630886363,813.892630886363,92609415.5553078,92609415.5553078,63935.6319,63935.6319,462910.27242,462910.27242,"60","LOW"
"60_LOW",2016,792.380451357471,792.380451357471,82116192.5413056,82116192.5413056,54891.7286,54891.7286,412549.20935,412549.20935,"60","LOW"
"60_LOW",2017,598.505537510405,598.505537510405,59510298.665952,59510298.665952,35794.81803,35794.81803,121080.95676,121080.95676,"60","LOW"
"60_LOW",2018,484.832234942024,484.832234942024,44123942.8807142,44123942.8807142,37859.79448,37859.79448,192697.046956,192697.046956,"60","LOW"
"60_LOW",2019,590.766807992288,585.109201030757,60360720.8957395,58305613.8648557,41132.49698,30424.90998,277319.328919,124842.54965,"60","LOW"
"60_MOD",2014,407.197919054572,407.197919054572,33361515.801447,33361515.801447,46581.08625,46581.08625,188297.129881,188297.129881,"60","MOD"
"60_MOD",2015,813.892630886363,813.892630886363,92609415.5553078,92609415.5553078,63935.6319,63935.6319,462910.27242,462910.27242,"60","MOD"
"60_MOD",2016,792.380451357471,792.380451357471,82116192.5413056,82116192.5413056,54891.7286,54891.7286,412549.20935,412549.20935,"60","MOD"
"60_MOD",2017,598.505537510405,598.505537510405,59510298.665952,59510298.665952,35794.81803,35794.81803,121080.95676,121080.95676,"60","MOD"
"60_MOD",2018,484.832234942024,484.832234942024,44123942.8807142,44123942.8807142,37859.79448,37859.79448,192697.046956,192697.046956,"60","MOD"
"60_MOD",2019,622.723870178741,585.109201030757,66383724.9461587,58305613.8648557,60395.69295,30424.90998,488173.924174,124842.54965,"60","MOD"
"75_HIGH",2014,407.197919054572,407.197919054572,33361515.801447,33361515.801447,46581.08625,46581.08625,188297.129881,188297.129881,"75","HIGH"
"75_HIGH",2015,813.892630886363,813.892630886363,92609415.5553078,92609415.5553078,63935.6319,63935.6319,462910.27242,462910.27242,"75","HIGH"
"75_HIGH",2016,792.380451357471,792.380451357471,82116192.5413056,82116192.5413056,54891.7286,54891.7286,412549.20935,412549.20935,"75","HIGH"
"75_HIGH",2017,598.505537510405,598.505537510405,59510298.665952,59510298.665952,35794.81803,35794.81803,121080.95676,121080.95676,"75","HIGH"
"75_HIGH",2018,484.832234942024,484.832234942024,44123942.8807142,44123942.8807142,37859.79448,37859.79448,192697.046956,192697.046956,"75","HIGH"
"75_HIGH",2019,662.583644771638,585.109201030757,73318317.3094291,58305613.8648557,113032.67729,30424.90998,554986.326345,124842.54965,"75","HIGH"
"75_LOW",2014,407.197919054572,407.197919054572,33361515.801447,33361515.801447,46581.08625,46581.08625,188297.129881,188297.129881,"75","LOW"
"75_LOW",2015,813.892630886363,813.892630886363,92609415.5553078,92609415.5553078,63935.6319,63935.6319,462910.27242,462910.27242,"75","LOW"
"75_LOW",2016,792.380451357471,792.380451357471,82116192.5413056,82116192.5413056,54891.7286,54891.7286,412549.20935,412549.20935,"75","LOW"
